name,url,username,password,note
http://localhost,http://localhost/login,admin@tourism.com,123456,
http://localhost,http://localhost/login,ana_guide,123456,
http://localhost,http://localhost/login,jovana_travel,123456,
http://localhost,http://localhost/login,luka_adventure,123456,
http://localhost,http://localhost/login,marko_vodic,123456,
http://localhost,http://localhost/login,milan_explorer,123456,
http://localhost,http://localhost/login,nina_world,123456,
http://localhost,http://localhost/login,petar_trip,123456,
http://localhost,http://localhost/login,sara_tourist,123456,
http://localhost,http://localhost/login,stefan_tours,123456,
http://localhost:7474,http://localhost:7474/browser/,neo4j,testpassword,
